EventID,Category,Location,StreamURL,Timestamp,Index_per_frame,index_max_frame,idx,ClassID,Confidence,ClassName,ScoreThreshold,NmsThreshold,ConfidenceThreshold,x0,y0,x1,y1,xc,yc,Width,Height,OnnxFileName,NamesFileName,ImageWidth,ImageHeight,LinkID
2251104,AI,組立第１工場K棟9番ホイールエンジンフード,10.3.45.87,2025-04-21 11:00:00.2391441,0,8,98,3,0.927734,Move,0.1,0.5,0.1,586,341,663,591,624,466,77,250,time_study.onnx,time_study.names,1280,960,0A032D57g.04LB0000
2251105,AI,組立第１工場K棟9番ホイールエンジンフード,10.3.45.87,2025-04-21 11:00:00.2391441,1,8,66,2,0.924316,Bring_Handling_Parts,0.1,0.5,0.1,460,285,532,494,496,389,72,209,time_study.onnx,time_study.names,1280,960,0A032D57g.04LB0000
2251106,AI,組立第１工場K棟9番ホイールエンジンフード,10.3.45.87,2025-04-21 11:00:00.2391441,2,8,43,3,0.871582,Move,0.1,0.5,0.1,681,224,734,333,707,278,53,109,time_study.onnx,time_study.names,1280,960,0A032D57g.04LB0000
2251107,AI,組立第１工場K棟9番ホイールエンジンフード,10.3.45.87,2025-04-21 11:00:00.2391441,3,8,41,4,0.768066,Stand,0.1,0.5,0.1,643,201,695,328,669,264,52,127,time_study.onnx,time_study.names,1280,960,0A032D57g.04LB0000
2251108,AI,組立第１工場K棟9番ホイールエンジンフード,10.3.45.87,2025-04-21 11:00:00.2391441,4,8,58,0,0.624512,Work,0.1,0.5,0.1,115,211,176,282,145,246,61,71,time_study.onnx,time_study.names,1280,960,0A032D57g.04LB0000
2251109,AI,組立第１工場K棟9番ホイールエンジンフード,10.3.45.87,2025-04-21 11:00:00.2391441,5,8,34,5,0.508789,Others,0.1,0.5,0.1,984,92,1017,128,1000,110,33,36,time_study.onnx,time_study.names,1280,960,0A032D57g.04LB0000
2251110,AI,組立第１工場K棟9番ホイールエンジンフード,10.3.45.87,2025-04-21 11:00:00.2391441,6,8,46,4,0.113403,Stand,0.1,0.5,0.1,0,338,33,472,16,405,33,134,time_study.onnx,time_study.names,1280,960,0A032D57g.04LB0000
2251111,AI,組立第１工場K棟9番ホイールエンジンフード,10.3.45.87,2025-04-21 11:00:00.2391441,7,8,9,4,0.108582,Stand,0.1,0.5,0.1,1258,91,1279,150,1268,120,21,59,time_study.onnx,time_study.names,1280,960,0A032D57g.04LB0000
2251112,AI,組立第１工場F棟4番クローラ組立エンジン付近,10.3.45.89,2025-04-21 11:00:00.3921934,0,4,27,3,0.935059,Move,0.1,0.5,0.1,281,546,360,776,320,661,79,230,time_study.onnx,time_study.names,1280,960,0A032D59g.04LB0000
2251113,AI,組立第１工場F棟4番クローラ組立エンジン付近,10.3.45.89,2025-04-21 11:00:00.3921934,1,4,18,2,0.929199,Bring_Handling_Parts,0.1,0.5,0.1,1143,574,1270,828,1206,701,127,254,time_study.onnx,time_study.names,1280,960,0A032D59g.04LB0000
2251114,AI,組立第１工場F棟4番クローラ組立エンジン付近,10.3.45.89,2025-04-21 11:00:00.3921934,2,4,9,4,0.916016,Stand,0.1,0.5,0.1,1144,463,1193,620,1168,541,49,157,time_study.onnx,time_study.names,1280,960,0A032D59g.04LB0000
2251115,AI,組立第１工場F棟4番クローラ組立エンジン付近,10.3.45.89,2025-04-21 11:00:00.3921934,3,4,50,4,0.674316,Stand,0.1,0.5,0.1,702,577,775,675,738,626,73,98,time_study.onnx,time_study.names,1280,960,0A032D59g.04LB0000
2251119,AI,稼働中CLライン給油ブース付近,10.3.45.95,2025-04-21 11:00:00.5957322,3,4,32,2,0.727051,Bring_Handling_Parts,0.1,0.5,0.1,1870,74,1920,133,1895,103,50,59,time_study.onnx,time_study.names,1920,1080,0A032D5Fg.04LB0000
2251116,AI,稼働中CLライン給油ブース付近,10.3.45.95,2025-04-21 11:00:00.5957322,0,4,41,0,0.922363,Work,0.1,0.5,0.1,537,344,638,534,587,439,101,190,time_study.onnx,time_study.names,1920,1080,0A032D5Fg.04LB0000
2251117,AI,稼働中CLライン給油ブース付近,10.3.45.95,2025-04-21 11:00:00.5957322,1,4,33,3,0.776855,Move,0.1,0.5,0.1,1351,180,1414,374,1382,277,63,194,time_study.onnx,time_study.names,1920,1080,0A032D5Fg.04LB0000
2251118,AI,稼働中CLライン給油ブース付近,10.3.45.95,2025-04-21 11:00:00.5957322,2,4,51,0,0.757812,Work,0.1,0.5,0.1,13,320,84,394,48,357,71,74,time_study.onnx,time_study.names,1920,1080,0A032D5Fg.04LB0000
2251129,AI,組立第１工場K棟8番フロントフレームサブ,10.3.45.84,2025-04-21 11:00:01.1510539,0,6,6,0,0.897461,Work,0.1,0.5,0.1,621,427,679,512,650,469,58,85,time_study.onnx,time_study.names,1280,960,0A032D54g.04LB0001
2251130,AI,組立第１工場K棟8番フロントフレームサブ,10.3.45.84,2025-04-21 11:00:01.1510539,1,6,60,0,0.814453,Work,0.1,0.5,0.1,584,470,653,578,618,524,69,108,time_study.onnx,time_study.names,1280,960,0A032D54g.04LB0001
2251131,AI,組立第１工場K棟8番フロントフレームサブ,10.3.45.84,2025-04-21 11:00:01.1510539,2,6,24,5,0.737793,Others,0.1,0.5,0.1,614,382,644,416,629,399,30,34,time_study.onnx,time_study.names,1280,960,0A032D54g.04LB0001
2251132,AI,組立第１工場K棟8番フロントフレームサブ,10.3.45.84,2025-04-21 11:00:01.1510539,3,6,36,4,0.35498,Stand,0.1,0.5,0.1,74,684,199,957,136,820,125,273,time_study.onnx,time_study.names,1280,960,0A032D54g.04LB0001
2251133,AI,組立第１工場K棟8番フロントフレームサブ,10.3.45.84,2025-04-21 11:00:01.1510539,4,6,22,5,0.246094,Others,0.1,0.5,0.1,578,330,606,369,592,349,28,39,time_study.onnx,time_study.names,1280,960,0A032D54g.04LB0001
2251134,AI,組立第１工場K棟8番フロントフレームサブ,10.3.45.84,2025-04-21 11:00:01.1510539,5,6,25,0,0.138062,Work,0.1,0.5,0.1,570,382,607,441,588,411,37,59,time_study.onnx,time_study.names,1280,960,0A032D54g.04LB0001
2251135,AI,組立第１工場K棟8番ホイールライン,10.3.45.86,2025-04-21 11:00:01.5641163,0,8,64,4,0.95166,Stand,0.1,0.5,0.1,441,396,532,663,486,529,91,267,time_study.onnx,time_study.names,1280,960,0A032D56g.04LB0001
2251136,AI,組立第１工場K棟8番ホイールライン,10.3.45.86,2025-04-21 11:00:01.5641163,1,8,61,2,0.949707,Bring_Handling_Parts,0.1,0.5,0.1,4,311,162,502,83,406,158,191,time_study.onnx,time_study.names,1280,960,0A032D56g.04LB0001
2251137,AI,組立第１工場K棟8番ホイールライン,10.3.45.86,2025-04-21 11:00:01.5641163,2,8,23,3,0.911133,Move,0.1,0.5,0.1,183,303,255,409,219,356,72,106,time_study.onnx,time_study.names,1280,960,0A032D56g.04LB0001
2251138,AI,組立第１工場K棟8番ホイールライン,10.3.45.86,2025-04-21 11:00:01.5641163,3,8,12,3,0.907227,Move,0.1,0.5,0.1,363,164,417,243,390,203,54,79,time_study.onnx,time_study.names,1280,960,0A032D56g.04LB0001
2251139,AI,組立第１工場K棟8番ホイールライン,10.3.45.86,2025-04-21 11:00:01.5641163,4,8,55,4,0.867676,Stand,0.1,0.5,0.1,372,279,417,394,394,336,45,115,time_study.onnx,time_study.names,1280,960,0A032D56g.04LB0001
2251140,AI,組立第１工場K棟8番ホイールライン,10.3.45.86,2025-04-21 11:00:01.5641163,5,8,51,4,0.866211,Stand,0.1,0.5,0.1,487,162,541,263,514,212,54,101,time_study.onnx,time_study.names,1280,960,0A032D56g.04LB0001
2251141,AI,組立第１工場K棟8番ホイールライン,10.3.45.86,2025-04-21 11:00:01.5641163,6,8,0,5,0.421631,Others,0.1,0.5,0.1,790,62,816,94,803,78,26,32,time_study.onnx,time_study.names,1280,960,0A032D56g.04LB0001
2251142,AI,組立第１工場K棟8番ホイールライン,10.3.45.86,2025-04-21 11:00:01.5641163,7,8,90,4,0.364014,Stand,0.1,0.5,0.1,834,84,871,193,852,138,37,109,time_study.onnx,time_study.names,1280,960,0A032D56g.04LB0001
2251120,AI,稼働中CLラインラインオン,10.3.45.96,2025-04-21 11:00:01.9371770,0,9,33,0,0.943848,Work,0.1,0.5,0.1,7,643,99,743,53,693,92,100,time_study.onnx,time_study.names,1920,1080,0A032D60g.04LB0001
2251121,AI,稼働中CLラインラインオン,10.3.45.96,2025-04-21 11:00:01.9371770,1,9,37,4,0.942871,Stand,0.1,0.5,0.1,876,664,970,802,923,733,94,138,time_study.onnx,time_study.names,1920,1080,0A032D60g.04LB0001
2251122,AI,稼働中CLラインラインオン,10.3.45.96,2025-04-21 11:00:01.9371770,2,9,24,0,0.911133,Work,0.1,0.5,0.1,1251,508,1299,603,1275,555,48,95,time_study.onnx,time_study.names,1920,1080,0A032D60g.04LB0001
2251123,AI,稼働中CLラインラインオン,10.3.45.96,2025-04-21 11:00:01.9371770,3,9,11,0,0.907715,Work,0.1,0.5,0.1,980,575,1034,634,1007,604,54,59,time_study.onnx,time_study.names,1920,1080,0A032D60g.04LB0001
2251124,AI,稼働中CLラインラインオン,10.3.45.96,2025-04-21 11:00:01.9371770,4,9,7,4,0.873047,Stand,0.1,0.5,0.1,1138,506,1176,571,1157,538,38,65,time_study.onnx,time_study.names,1920,1080,0A032D60g.04LB0001
2251125,AI,稼働中CLラインラインオン,10.3.45.96,2025-04-21 11:00:01.9371770,5,9,42,4,0.819336,Stand,0.1,0.5,0.1,1111,499,1144,551,1127,525,33,52,time_study.onnx,time_study.names,1920,1080,0A032D60g.04LB0001
2251126,AI,稼働中CLラインラインオン,10.3.45.96,2025-04-21 11:00:01.9371770,6,9,65,0,0.76123,Work,0.1,0.5,0.1,1301,488,1332,526,1316,507,31,38,time_study.onnx,time_study.names,1920,1080,0A032D60g.04LB0001
2251127,AI,稼働中CLラインラインオン,10.3.45.96,2025-04-21 11:00:01.9371770,7,9,83,4,0.350342,Stand,0.1,0.5,0.1,1492,599,1542,776,1517,687,50,177,time_study.onnx,time_study.names,1920,1080,0A032D60g.04LB0001
2251128,AI,稼働中CLラインラインオン,10.3.45.96,2025-04-21 11:00:01.9371770,8,9,79,0,0.135254,Work,0.1,0.5,0.1,958,625,1011,671,984,648,53,46,time_study.onnx,time_study.names,1920,1080,0A032D60g.04LB0001
2251143,AI,稼働中WLラインラインオン,10.3.45.93,2025-04-21 11:00:02.2245509,0,8,66,2,0.858887,Bring_Handling_Parts,0.1,0.5,0.1,1347,481,1393,568,1370,524,46,87,time_study.onnx,time_study.names,1920,1080,0A032D5Dg.04LB0002
2251144,AI,稼働中WLラインラインオン,10.3.45.93,2025-04-21 11:00:02.2245509,1,8,34,4,0.729004,Stand,0.1,0.5,0.1,847,397,878,458,862,427,31,61,time_study.onnx,time_study.names,1920,1080,0A032D5Dg.04LB0002
2251145,AI,稼働中WLラインラインオン,10.3.45.93,2025-04-21 11:00:02.2245509,2,8,65,0,0.711426,Work,0.1,0.5,0.1,1104,454,1142,566,1123,510,38,112,time_study.onnx,time_study.names,1920,1080,0A032D5Dg.04LB0002
2251146,AI,稼働中WLラインラインオン,10.3.45.93,2025-04-21 11:00:02.2245509,3,8,82,2,0.679199,Bring_Handling_Parts,0.1,0.5,0.1,795,526,857,696,826,611,62,170,time_study.onnx,time_study.names,1920,1080,0A032D5Dg.04LB0002
2251147,AI,稼働中WLラインラインオン,10.3.45.93,2025-04-21 11:00:02.2245509,4,8,19,0,0.64502,Work,0.1,0.5,0.1,936,461,992,566,964,513,56,105,time_study.onnx,time_study.names,1920,1080,0A032D5Dg.04LB0002
2251148,AI,稼働中WLラインラインオン,10.3.45.93,2025-04-21 11:00:02.2245509,5,8,57,0,0.253906,Work,0.1,0.5,0.1,649,448,688,522,668,485,39,74,time_study.onnx,time_study.names,1920,1080,0A032D5Dg.04LB0002
2251149,AI,稼働中WLラインラインオン,10.3.45.93,2025-04-21 11:00:02.2245509,6,8,0,5,0.144165,Others,0.1,0.5,0.1,954,401,981,425,967,413,27,24,time_study.onnx,time_study.names,1920,1080,0A032D5Dg.04LB0002
2251150,AI,稼働中WLラインラインオン,10.3.45.93,2025-04-21 11:00:02.2245509,7,8,68,0,0.144165,Work,0.1,0.5,0.1,1166,520,1215,552,1190,536,49,32,time_study.onnx,time_study.names,1920,1080,0A032D5Dg.04LB0002
2251151,AI,組立第１工場K棟9番ホイールエンジンフード,10.3.45.87,2025-04-21 11:00:03.3364992,0,5,28,2,0.935059,Bring_Handling_Parts,0.1,0.5,0.1,463,285,539,496,501,390,76,211,time_study.onnx,time_study.names,1280,960,0A032D57g.04LB0003
